               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.089544,              0.2881,                   0,                   0,                   0,                   0,                   0,                   0,            0.076092,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.094854,              0.2523,                   0,                   0,                   0,                   0,                   0,                   0,            0.065973,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.09703,             0.25705,                   0,                   0,                   0,                   0,                   0,                   0,            0.065973,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.091614,             0.22578,                   0,                   0,                   0,                   0,                   0,                   0,            0.065973,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.092406,             0.23596,                   0,                   0,                   0,                   0,                   0,                   0,            0.065973,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.093227,             0.20238,                   0,                   0,                   0,                   0,                   0,                   0,            0.053437,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.097237,             0.32747,                   0,                   0,                   0,                   0,                   0,                   0,            0.053437,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.096888,             0.27153,                   0,                   0,                   0,                   0,                   0,                   0,            0.053437,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.089507,             0.15366,                   0,                   0,                   0,                   0,                   0,                   0,            0.053437,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.09459,              0.2459,                   0,                   0,                   0,                   0,                   0,                   0,            0.045213,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.095251,             0.24207,                   0,                   0,                   0,                   0,                   0,                   0,            0.045213,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.086031,             0.24395,                   0,                   0,                   0,                   0,                   0,                   0,            0.045213,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.099861,             0.27916,                   0,                   0,                   0,                   0,                   0,                   0,            0.045213,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.10439,             0.21204,                   0,                   0,                   0,                   0,                   0,                   0,            0.045213,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.10004,             0.22538,                   0,                   0,                   0,                   0,                   0,                   0,            0.037941,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.090278,             0.28517,                   0,                   0,                   0,                   0,                   0,                   0,            0.037941,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.090162,             0.23625,                   0,                   0,                   0,                   0,                   0,                   0,            0.037941,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.096729,             0.34876,                   0,                   0,                   0,                   0,                   0,                   0,            0.037941,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.094696,             0.24646,                   0,                   0,                   0,                   0,                   0,                   0,            0.039243,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.083715,             0.16313,                   0,                   0,                   0,                   0,                   0,                   0,            0.039243,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.090337,             0.17672,                   0,                   0,                   0,                   0,                   0,                   0,            0.039243,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.086854,             0.19458,                   0,                   0,                   0,                   0,                   0,                   0,            0.039243,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.091564,             0.26525,                   0,                   0,                   0,                   0,                   0,                   0,            0.048295,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.094794,             0.28699,                   0,                   0,                   0,                   0,                   0,                   0,            0.048295,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.088265,             0.21691,                   0,                   0,                   0,                   0,                   0,                   0,            0.048295,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.095619,             0.22381,                   0,                   0,                   0,                   0,                   0,                   0,            0.048295,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.085609,             0.18798,                   0,                   0,                   0,                   0,                   0,                   0,            0.048295,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.095196,              0.2316,                   0,                   0,                   0,                   0,                   0,                   0,            0.052275,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.096668,             0.25219,                   0,                   0,                   0,                   0,                   0,                   0,            0.052275,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.096684,             0.26857,                   0,                   0,                   0,                   0,                   0,                   0,            0.052275,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.093682,             0.24311,                   0,                   0,                   0,                   0,                   0,                   0,            0.052275,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.089787,             0.27035,                   0,                   0,                   0,                   0,                   0,                   0,            0.051992,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.092329,             0.26285,                   0,                   0,                   0,                   0,                   0,                   0,            0.051992,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.091241,             0.24987,                   0,                   0,                   0,                   0,                   0,                   0,            0.051992,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.091636,              0.2583,                   0,                   0,                   0,                   0,                   0,                   0,            0.051992,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.089277,              0.2335,                   0,                   0,                   0,                   0,                   0,                   0,            0.052228,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.086453,             0.23698,                   0,                   0,                   0,                   0,                   0,                   0,            0.052228,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.089895,             0.19091,                   0,                   0,                   0,                   0,                   0,                   0,            0.052228,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.09523,             0.21785,                   0,                   0,                   0,                   0,                   0,                   0,            0.052228,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.088116,             0.26369,                   0,                   0,                   0,                   0,                   0,                   0,            0.052228,                   0,            0.000298,            0.000298,            0.000298
