               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.08902,             0.36448,                   0,             0.17819,             0.35915,             0.15869,            0.036878,            0.092308,             0.50036,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.10796,              0.4413,                   0,             0.17819,             0.35915,             0.15869,            0.036878,            0.092308,             0.50036,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.091413,             0.35103,                   0,             0.16442,              0.3216,             0.12758,            0.028913,             0.09205,             0.50507,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.092692,             0.39706,                   0,             0.16442,              0.3216,             0.12758,            0.028913,             0.09205,             0.50507,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.093817,             0.42912,                   0,             0.16442,              0.3216,             0.12758,            0.028913,             0.09205,             0.50507,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.0924,             0.38917,                   0,             0.16442,              0.3216,             0.12758,            0.028913,             0.09205,             0.50507,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.092224,              0.3248,                   0,             0.18116,             0.33099,             0.13226,             0.03408,            0.091049,             0.51448,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.091184,             0.37721,                   0,             0.18116,             0.33099,             0.13226,             0.03408,            0.091049,             0.51448,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.088363,               0.339,                   0,             0.18116,             0.33099,             0.13226,             0.03408,            0.091049,             0.51448,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.093784,             0.37667,                   0,             0.18116,             0.33099,             0.13226,             0.03408,            0.091049,             0.51448,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.089759,             0.42408,                   0,             0.18116,             0.33099,             0.13226,             0.03408,            0.091049,             0.51448,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.085497,              0.3293,                   0,             0.20245,             0.31283,             0.14954,            0.037148,            0.089679,             0.52014,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.089459,               0.333,                   0,             0.20245,             0.31283,             0.14954,            0.037148,            0.089679,             0.52014,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.091986,             0.34965,                   0,             0.20245,             0.31283,             0.14954,            0.037148,            0.089679,             0.52014,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.088782,             0.36093,                   0,             0.20245,             0.31283,             0.14954,            0.037148,            0.089679,             0.52014,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.087341,             0.32855,                   0,               0.226,             0.34507,             0.16003,            0.040692,            0.088265,             0.52547,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.08848,              0.3323,                   0,               0.226,             0.34507,             0.16003,            0.040692,            0.088265,             0.52547,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.088215,             0.33145,                   0,               0.226,             0.34507,             0.16003,            0.040692,            0.088265,             0.52547,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.090229,             0.41442,                   0,               0.226,             0.34507,             0.16003,            0.040692,            0.088265,             0.52547,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.092998,             0.44086,                   0,              0.2293,             0.33593,             0.16773,            0.042566,            0.087553,             0.53074,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.091263,             0.40906,                   0,              0.2293,             0.33593,             0.16773,            0.042566,            0.087553,             0.53074,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.08739,             0.31367,                   0,              0.2293,             0.33593,             0.16773,            0.042566,            0.087553,             0.53074,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.086716,             0.31787,                   0,              0.2293,             0.33593,             0.16773,            0.042566,            0.087553,             0.53074,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.092108,             0.35438,                   0,              0.2293,             0.33593,             0.16773,            0.042566,            0.087553,             0.53074,                   0,            0.000298,            0.000298,            0.000298
