['x', 'y', 'a', 'b']
[2512.0, 505, 2622, 675]
[2512, 504, 2622.0, 675]
[2622.0, 504, 2732, 675]
[2622, 504, 2732.0, 674]
[2732.0, 504, 2842, 674]
[2732, 502, 2842.0, 674]
[2842.0, 502, 2952, 674]
[2842, 502, 2952.0, 674]
[2952.0, 502, 3062, 674]
[2952, 502, 3062.0, 672]
[3062.0, 502, 3172, 672]
[3062, 504, 3172.0, 672]
[3172.0, 504, 3282, 672]
[3172, 505, 3282.0, 674]
[3282.0, 505, 3392, 674]
[3282, 507, 3392.0, 674]
[3392.0, 507, 3502, 674]
[202, 729, 312.0, 904]
[312.0, 729, 422, 904]
[312, 729, 422.0, 904]
[422.0, 729, 532, 904]
[422, 727, 532.0, 903]
[532.0, 727, 642, 903]
[532, 727, 642.0, 903]
[642.0, 727, 752, 903]
[642, 727, 752.0, 903]
[752.0, 727, 862, 903]
[752, 727, 862.0, 901]
[862.0, 727, 972, 901]
[862, 727, 972.0, 901]
[972.0, 727, 1082, 901]
[972, 726, 1082.0, 901]
[1082.0, 726, 1192, 901]
[1082, 726, 1192.0, 899]
[1192.0, 726, 1302, 899]
[1192, 726, 1302.0, 899]
[1302.0, 726, 1412, 899]
[1302, 726, 1412.0, 899]
[1412.0, 726, 1522, 899]
[1412, 724, 1522.0, 897]
[1522.0, 724, 1632, 897]
[1522, 724, 1632.0, 897]
[1632.0, 724, 1742, 897]
[1632, 724, 1742.0, 897]
[1742.0, 724, 1852, 897]
[1742, 724, 1852.0, 895]
[1852.0, 724, 1962, 895]
[1852, 724, 1962.0, 895]
[1962.0, 724, 2072, 895]
[1962, 724, 2072.0, 895]
[2072.0, 724, 2182, 895]
[2072, 724, 2182.0, 894]
[2182.0, 724, 2292, 894]
[2182, 724, 2292.0, 894]
[2292.0, 724, 2402, 894]
[2292, 724, 2402.0, 894]
[2402.0, 724, 2512, 894]
[2402, 722, 2512.0, 892]
[2512.0, 722, 2622, 892]
[2512, 722, 2622.0, 892]
[2622.0, 722, 2732, 892]
[2622, 722, 2732.0, 892]
[2732.0, 722, 2842, 892]
[2732, 722, 2842.0, 890]
[2842.0, 722, 2952, 890]
[2842, 720, 2952.0, 890]
[2952.0, 720, 3062, 890]
[2952, 720, 3062.0, 888]
[3062.0, 720, 3172, 888]
[3062, 720, 3172.0, 888]
[3172.0, 720, 3282, 888]
[3172, 720, 3282.0, 888]
[3282.0, 720, 3392, 888]
[3282, 720, 3392.0, 887]
[3392.0, 720, 3502, 887]
[202, 958, 312.0, 1132]
[312.0, 958, 422, 1132]
[312, 956, 422.0, 1130]
[422.0, 956, 532, 1130]
[422, 956, 532.0, 1130]
[532.0, 956, 642, 1130]
[532, 954, 642.0, 1128]
[642.0, 954, 752, 1128]
